TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
,,,,,,,,,,,,,,,,,,,,,,,
BKN,BKN vs. IND,04/10/2022,W,48,134,52,81,64.2,8,22,36.4,22,25,88.0,8,42,50,30,21,5,6,16,8
CHI,CHI @ MIN,04/10/2022,W,48,124,44,83,53.0,10,21,47.6,26,33,78.8,16,32,48,22,23,9,3,22,4
MEM,MEM vs. BOS,04/10/2022,L,48,110,39,102,38.2,15,47,31.9,17,27,63.0,19,26,45,27,10,11,6,16,-29
POR,POR vs. UTA,04/10/2022,L,48,80,31,83,37.3,9,34,26.5,9,12,75.0,5,27,32,21,16,11,8,27,-31
CLE,CLE vs. MIL,04/10/2022,W,48,133,51,94,54.3,19,38,50.0,12,17,70.6,10,38,48,39,12,5,5,26,18
ORL,ORL vs. MIA,04/10/2022,W,48,125,45,91,49.5,23,58,39.7,12,14,85.7,6,42,48,33,10,4,3,16,14
MIL,MIL @ CLE,04/10/2022,L,48,115,39,88,44.3,12,30,40.0,25,32,78.1,8,33,41,27,12,7,2,14,-18
SAC,SAC @ PHX,04/10/2022,W,48,116,40,76,52.6,14,26,53.8,22,30,73.3,2,38,40,26,15,9,7,18,7
IND,IND @ BKN,04/10/2022,L,48,126,47,104,45.2,19,46,41.3,13,19,68.4,11,19,30,32,7,16,1,23,-8
MIN,MIN vs. CHI,04/10/2022,L,48,120,46,91,50.5,11,31,35.5,17,22,77.3,9,23,32,30,13,7,9,23,-4
PHX,PHX vs. SAC,04/10/2022,L,48,109,42,103,40.8,14,47,29.8,11,15,73.3,18,32,50,27,11,9,7,25,-7
NOP,NOP vs. GSW,04/10/2022,L,48,107,42,99,42.4,14,40,35.0,9,12,75.0,18,24,42,24,12,10,0,17,-21
SAS,SAS @ DAL,04/10/2022,L,48,120,43,89,48.3,11,31,35.5,23,23,100,7,28,35,26,8,15,3,17,-10
UTA,UTA @ POR,04/10/2022,W,48,111,37,82,45.1,9,36,25.0,28,38,73.7,15,45,60,23,17,8,6,16,31
DAL,DAL vs. SAS,04/10/2022,W,48,130,46,85,54.1,20,36,55.6,18,23,78.3,10,33,43,34,16,5,3,16,10
DEN,DEN vs. LAL,04/10/2022,L,53,141,49,100,49.0,15,47,31.9,28,36,77.8,11,34,45,33,14,10,7,34,-5
LAL,LAL @ DEN,04/10/2022,W,53,146,44,94,46.8,16,43,37.2,42,47,89.4,13,37,50,26,13,4,6,24,5
CHA,CHA vs. WAS,04/10/2022,W,48,124,48,89,53.9,18,33,54.5,10,14,71.4,11,37,48,34,20,6,9,20,16
DET,DET @ PHI,04/10/2022,L,48,106,38,83,45.8,11,34,32.4,19,29,65.5,15,27,42,26,20,4,4,16,-12
PHI,PHI vs. DET,04/10/2022,W,48,118,46,88,52.3,5,25,20.0,21,23,91.3,10,32,42,25,11,13,6,23,12
MIA,MIA @ ORL,04/10/2022,L,48,111,40,94,42.6,19,50,38.0,12,16,75.0,10,37,47,20,10,5,4,13,-14
WAS,WAS @ CHA,04/10/2022,L,48,108,42,94,44.7,8,23,34.8,16,26,61.5,17,26,43,25,11,12,3,16,-16
OKC,OKC @ LAC,04/10/2022,L,48,88,37,98,37.8,9,34,26.5,5,9,55.6,12,28,40,17,10,6,2,16,-50
GSW,GSW @ NOP,04/10/2022,W,48,128,49,81,60.5,19,33,57.6,11,13,84.6,7,34,41,33,17,5,2,15,21
NYK,NYK vs. TOR,04/10/2022,W,48,105,40,87,46.0,15,43,34.9,10,12,83.3,10,38,48,32,17,6,5,17,11
BOS,BOS @ MEM,04/10/2022,W,48,139,54,99,54.5,18,48,37.5,13,13,100,14,42,56,34,15,5,2,20,29
HOU,HOU vs. ATL,04/10/2022,L,48,114,41,89,46.1,17,46,37.0,15,20,75.0,6,28,34,24,8,4,4,19,-16
TOR,TOR @ NYK,04/10/2022,L,48,94,36,92,39.1,12,42,28.6,10,11,90.9,9,34,43,27,14,10,2,17,-11
LAC,LAC vs. OKC,04/10/2022,W,48,138,54,97,55.7,18,35,51.4,12,14,85.7,12,45,57,34,9,4,8,11,50
ATL,ATL @ HOU,04/10/2022,W,48,130,45,87,51.7,21,38,55.3,19,24,79.2,13,37,50,29,13,4,4,19,16
NOP,NOP @ MEM,04/09/2022,L,48,114,41,91,45.1,6,30,20.0,26,35,74.3,9,20,29,23,16,10,3,22,-27
MEM,MEM vs. NOP,04/09/2022,W,48,141,53,90,58.9,18,35,51.4,17,23,73.9,13,35,48,41,19,6,9,24,27
SAS,SAS vs. GSW,04/09/2022,L,48,94,32,80,40.0,10,31,32.3,20,27,74.1,4,37,41,19,12,5,3,24,-6
LAC,LAC vs. SAC,04/09/2022,W,48,117,42,86,48.8,21,43,48.8,12,15,80.0,10,38,48,29,17,7,3,22,19
GSW,GSW @ SAS,04/09/2022,W,48,100,33,81,40.7,8,32,25.0,26,33,78.8,13,38,51,23,12,8,1,22,6
SAC,SAC @ LAC,04/09/2022,L,48,98,38,86,44.2,7,28,25.0,15,24,62.5,7,35,42,24,13,12,2,16,-19
IND,IND @ PHI,04/09/2022,L,48,120,41,78,52.6,10,23,43.5,28,36,77.8,7,24,31,28,17,8,6,22,-13
PHI,PHI vs. IND,04/09/2022,W,48,133,50,90,55.6,12,34,35.3,21,27,77.8,14,28,42,37,15,14,3,24,13
NYK,NYK @ WAS,04/08/2022,W,48,114,41,88,46.6,16,39,41.0,16,20,80.0,10,32,42,27,10,13,3,19,22
HOU,HOU @ TOR,04/08/2022,L,48,115,43,81,53.1,10,29,34.5,19,24,79.2,7,34,41,24,19,6,3,19,-2
OKC,OKC @ LAL,04/08/2022,L,48,101,40,88,45.5,6,29,20.7,15,19,78.9,9,35,44,21,14,5,3,26,-19
MIL,MIL @ DET,04/08/2022,W,48,131,50,101,49.5,11,37,29.7,20,23,87.0,10,41,51,29,8,7,1,20,30
CLE,CLE @ BKN,04/08/2022,L,48,107,40,82,48.8,8,27,29.6,19,24,79.2,10,21,31,19,9,4,4,20,-11
BKN,BKN vs. CLE,04/08/2022,W,48,118,43,92,46.7,12,32,37.5,20,21,95.2,13,32,45,30,11,5,8,20,11
CHA,CHA @ CHI,04/08/2022,W,48,133,52,86,60.5,19,40,47.5,10,10,100,8,30,38,34,11,7,4,21,16
TOR,TOR vs. HOU,04/08/2022,W,48,117,44,96,45.8,7,29,24.1,22,23,95.7,13,28,41,20,10,13,4,18,2
UTA,UTA vs. PHX,04/08/2022,L,48,105,35,88,39.8,11,38,28.9,24,33,72.7,15,29,44,20,11,8,4,18,-6
MIA,MIA vs. ATL,04/08/2022,W,48,113,40,72,55.6,11,26,42.3,22,28,78.6,4,29,33,20,17,9,1,17,4
DET,DET vs. MIL,04/08/2022,L,48,101,35,90,38.9,10,48,20.8,21,23,91.3,9,34,43,27,14,6,5,22,-30
DAL,DAL vs. POR,04/08/2022,W,48,128,42,79,53.2,20,45,44.4,24,31,77.4,9,42,51,25,15,9,5,19,50
,,,,,,,,,,,,,,,,,,,,,,,
CHI,CHI vs. CHA,04/08/2022,L,48,117,44,82,53.7,13,24,54.2,16,20,80.0,6,25,31,25,12,7,1,12,-16
ATL,ATL @ MIA,04/08/2022,L,48,109,42,88,47.7,8,34,23.5,17,19,89.5,13,30,43,17,15,9,0,23,-4
PHX,PHX @ UTA,04/08/2022,W,48,111,46,92,50.0,6,19,31.6,13,15,86.7,11,35,46,27,13,7,3,25,6
LAL,LAL vs. OKC,04/08/2022,W,48,120,41,82,50.0,9,31,29.0,29,39,74.4,7,38,45,23,10,8,4,17,19
WAS,WAS vs. NYK,04/08/2022,L,48,92,35,69,50.7,9,28,32.1,13,17,76.5,2,35,37,21,22,5,5,19,-22
POR,POR @ DAL,04/08/2022,L,48,78,31,83,37.3,7,32,21.9,9,12,75.0,5,24,29,20,17,9,2,23,-50
POR,POR @ NOP,04/07/2022,L,48,94,36,69,52.2,11,31,35.5,11,13,84.6,3,24,27,28,22,10,4,27,-33
MEM,MEM @ DEN,04/07/2022,L,48,109,42,89,47.2,11,28,39.3,14,19,73.7,10,24,34,30,13,8,3,21,-13
NOP,NOP vs. POR,04/07/2022,W,48,127,44,93,47.3,13,37,35.1,26,31,83.9,23,26,49,31,12,15,1,14,33
SAS,SAS @ MIN,04/07/2022,L,48,121,43,89,48.3,10,28,35.7,25,34,73.5,8,37,45,31,12,5,5,22,-6
DEN,DEN vs. MEM,04/07/2022,W,48,122,44,80,55.0,12,30,40.0,22,25,88.0,8,35,43,27,19,7,2,22,13
TOR,TOR vs. PHI,04/07/2022,W,48,119,45,91,49.5,15,33,45.5,14,18,77.8,12,29,41,22,11,7,4,17,5
CHA,CHA vs. ORL,04/07/2022,W,48,128,48,92,52.2,12,34,35.3,20,27,74.1,10,46,56,29,12,9,10,17,27
MIL,MIL vs. BOS,04/07/2022,W,48,127,49,97,50.5,14,38,36.8,15,21,71.4,14,34,48,27,11,13,5,19,6
BOS,BOS @ MIL,04/07/2022,L,48,121,43,87,49.4,21,50,42.0,14,19,73.7,8,36,44,30,16,8,4,15,-6
ORL,ORL @ CHA,04/07/2022,L,48,101,38,95,40.0,15,48,31.3,10,13,76.9,8,35,43,27,16,6,4,22,-27
MIN,MIN vs. SAS,04/07/2022,W,48,127,41,96,42.7,20,53,37.7,25,31,80.6,13,34,47,25,11,8,2,29,6
PHI,PHI @ TOR,04/07/2022,L,48,114,37,75,49.3,19,36,52.8,21,25,84.0,6,31,37,26,17,7,3,18,-5
GSW,GSW vs. LAL,04/07/2022,W,48,128,51,97,52.6,16,32,50.0,10,10,100,9,36,45,39,15,10,5,26,16
LAL,LAL @ GSW,04/07/2022,L,48,112,37,83,44.6,9,32,28.1,29,38,76.3,8,34,42,14,19,8,4,13,-16
PHX,PHX @ LAC,04/06/2022,L,48,109,42,108,38.9,17,48,35.4,8,12,66.7,18,36,54,29,12,11,2,26,-4
WAS,WAS @ ATL,04/06/2022,L,48,103,42,86,48.8,10,35,28.6,9,11,81.8,6,38,44,26,14,4,4,17,-15
OKC,OKC @ UTA,04/06/2022,L,48,101,37,90,41.1,16,37,43.2,11,17,64.7,11,21,32,27,10,9,1,22,-36
LAC,LAC vs. PHX,04/06/2022,W,48,113,33,75,44.0,12,34,35.3,35,44,79.5,9,46,55,20,17,7,9,17,4
DAL,DAL @ DET,04/06/2022,W,48,131,45,80,56.3,15,33,45.5,26,34,76.5,8,33,41,28,10,8,1,24,18
CHI,CHI vs. BOS,04/06/2022,L,48,94,35,80,43.8,7,23,30.4,17,23,73.9,7,33,40,19,17,7,4,22,-23
NYK,NYK vs. BKN,04/06/2022,L,48,98,32,83,38.6,13,38,34.2,21,36,58.3,10,32,42,22,11,4,7,19,-12
BOS,BOS @ CHI,04/06/2022,W,48,117,43,88,48.9,17,37,45.9,14,22,63.6,8,34,42,29,13,11,6,18,23
ATL,ATL vs. WAS,04/06/2022,W,48,118,43,92,46.7,16,39,41.0,16,19,84.2,7,32,39,26,6,11,1,13,15
BKN,BKN @ NYK,04/06/2022,W,48,110,41,93,44.1,14,41,34.1,14,18,77.8,13,36,49,28,14,7,6,26,12
UTA,UTA vs. OKC,04/06/2022,W,48,137,49,84,58.3,15,36,41.7,24,32,75.0,16,39,55,29,13,7,10,13,36
DET,DET vs. DAL,04/06/2022,L,48,113,35,82,42.7,11,30,36.7,32,35,91.4,11,31,42,26,11,7,5,21,-18
CHI,CHI vs. MIL,04/05/2022,L,48,106,42,98,42.9,9,33,27.3,13,13,100,13,29,42,22,15,8,2,21,-21
NOP,NOP @ SAC,04/05/2022,W,48,123,45,88,51.1,12,25,48.0,21,26,80.8,14,30,44,26,13,13,2,20,14
LAL,LAL @ PHX,04/05/2022,L,48,110,39,86,45.3,9,29,31.0,23,30,76.7,7,39,46,22,16,7,3,14,-11
PHI,PHI @ IND,04/05/2022,W,48,131,47,87,54.0,23,40,57.5,14,18,77.8,5,31,36,34,16,8,3,14,9
BKN,BKN vs. HOU,04/05/2022,W,48,118,39,86,45.3,15,37,40.5,25,27,92.6,12,40,52,22,17,6,9,23,13
CHA,CHA @ MIA,04/05/2022,L,48,115,45,85,52.9,12,38,31.6,13,18,72.2,7,24,31,34,15,8,3,18,-29
SAS,SAS @ DEN,04/05/2022,W,48,116,44,89,49.4,12,26,46.2,16,24,66.7,5,43,48,31,11,6,3,14,19
TOR,TOR vs. ATL,04/05/2022,W,48,118,44,101,43.6,9,35,25.7,21,31,67.7,20,40,60,20,8,6,5,14,10
SAC,SAC vs. NOP,04/05/2022,L,48,109,39,76,51.3,11,30,36.7,20,22,90.9,3,31,34,28,15,4,3,20,-14
UTA,UTA vs. MEM,04/05/2022,W,53,121,40,96,41.7,12,38,31.6,29,43,67.4,13,48,61,23,17,8,8,21,6
MIN,MIN vs. WAS,04/05/2022,L,48,114,41,91,45.1,14,41,34.1,18,25,72.0,6,32,38,27,10,6,3,16,-18
HOU,HOU @ BKN,04/05/2022,L,48,105,40,99,40.4,11,43,25.6,14,25,56.0,18,30,48,18,11,8,6,20,-13
MIL,MIL @ CHI,04/05/2022,W,48,127,46,87,52.9,12,35,34.3,23,25,92.0,8,39,47,32,14,8,8,19,21
PHX,PHX vs. LAL,04/05/2022,W,48,121,50,102,49.0,14,39,35.9,7,9,77.8,11,42,53,38,14,10,4,22,11
POR,POR @ OKC,04/05/2022,L,48,94,35,83,42.2,11,32,34.4,13,16,81.3,10,30,40,24,17,10,6,19,-4
ATL,ATL @ TOR,04/05/2022,L,48,108,43,94,45.7,14,37,37.8,8,12,66.7,10,33,43,31,7,5,4,22,-10
CLE,CLE @ ORL,04/05/2022,L,48,115,42,86,48.8,16,36,44.4,15,22,68.2,9,38,47,25,12,6,4,11,-5
WAS,WAS @ MIN,04/05/2022,W,48,132,56,101,55.4,13,30,43.3,7,14,50.0,9,43,52,38,10,4,4,25,18
,,,,,,,,,,,,,,,,,,,,,,,
IND,IND vs. PHI,04/05/2022,L,48,122,45,95,47.4,12,40,30.0,20,21,95.2,16,32,48,29,16,8,10,18,-9
OKC,OKC vs. POR,04/05/2022,W,48,98,39,81,48.1,9,29,31.0,11,22,50.0,13,34,47,15,17,12,12,10,4
ORL,ORL vs. CLE,04/05/2022,W,48,120,47,93,50.5,16,35,45.7,10,15,66.7,8,35,43,31,7,9,8,19,5
DEN,DEN vs. SAS,04/05/2022,L,48,97,41,98,41.8,7,33,21.2,8,12,66.7,10,41,51,22,11,4,2,19,-19
MEM,MEM @ UTA,04/05/2022,L,53,115,39,101,38.6,13,31,41.9,24,29,82.8,10,41,51,26,13,13,7,29,-6
MIA,MIA vs. CHA,04/05/2022,W,48,144,48,84,57.1,23,42,54.8,25,29,86.2,8,33,41,29,15,10,1,19,29
DAL,DAL @ MIL,04/03/2022,W,48,118,39,76,51.3,16,38,42.1,24,27,88.9,2,36,38,28,14,7,3,20,6
GSW,GSW @ SAC,04/03/2022,W,48,109,41,79,51.9,16,34,47.1,11,15,73.3,7,40,47,29,17,8,8,28,19
HOU,HOU vs. MIN,04/03/2022,L,48,132,48,85,56.5,16,40,40.0,20,29,69.0,11,25,36,28,24,8,4,24,-7
TOR,TOR vs. MIA,04/03/2022,L,48,109,35,83,42.2,12,39,30.8,27,34,79.4,10,28,38,19,17,12,1,20,-5
DET,DET @ IND,04/03/2022,W,48,121,43,99,43.4,21,41,51.2,14,18,77.8,10,28,38,31,12,11,4,19,4
POR,POR @ SAS,04/03/2022,L,48,92,33,84,39.3,16,45,35.6,10,15,66.7,7,32,39,22,14,7,4,22,-21
ORL,ORL vs. NYK,04/03/2022,L,48,88,30,85,35.3,12,44,27.3,16,27,59.3,8,32,40,18,11,5,2,12,-30
PHX,PHX @ OKC,04/03/2022,L,48,96,37,89,41.6,7,38,18.4,15,17,88.2,6,27,33,22,11,14,4,17,-21
DEN,DEN @ LAL,04/03/2022,W,48,129,47,82,57.3,12,31,38.7,23,29,79.3,6,32,38,33,12,10,5,18,11
BOS,BOS vs. WAS,04/03/2022,W,48,144,56,91,61.5,23,44,52.3,9,13,69.2,7,32,39,39,8,6,5,20,42
WAS,WAS @ BOS,04/03/2022,L,48,102,38,82,46.3,8,21,38.1,18,20,90.0,7,25,32,21,12,4,2,14,-42
OKC,OKC vs. PHX,04/03/2022,W,48,117,43,87,49.4,17,41,41.5,14,18,77.8,12,42,54,33,18,7,4,18,21
LAL,LAL vs. DEN,04/03/2022,L,48,118,49,92,53.3,6,20,30.0,14,21,66.7,6,34,40,31,13,4,5,25,-11
NOP,NOP @ LAC,04/03/2022,L,48,100,35,87,40.2,9,24,37.5,21,27,77.8,19,35,54,22,16,4,5,13,-19
MIA,MIA @ TOR,04/03/2022,W,48,114,41,79,51.9,18,38,47.4,14,22,63.6,8,30,38,30,17,9,4,21,5
LAC,LAC vs. NOP,04/03/2022,W,48,119,45,95,47.4,21,44,47.7,8,10,80.0,12,29,41,33,10,10,5,21,19
MIN,MIN @ HOU,04/03/2022,W,48,139,51,86,59.3,17,41,41.5,20,25,80.0,7,25,32,32,19,13,6,27,7
NYK,NYK @ ORL,04/03/2022,W,48,118,45,93,48.4,15,44,34.1,13,16,81.3,13,43,56,29,10,9,7,22,30
MIL,MIL vs. DAL,04/03/2022,L,48,112,42,95,44.2,15,40,37.5,13,18,72.2,10,26,36,25,9,9,1,22,-6
SAC,SAC vs. GSW,04/03/2022,L,48,90,31,81,38.3,7,33,21.2,21,24,87.5,6,29,35,19,13,5,1,15,-19
PHI,PHI @ CLE,04/03/2022,W,48,112,33,80,41.3,11,31,35.5,35,42,83.3,12,38,50,23,14,7,8,19,4
SAS,SAS vs. POR,04/03/2022,W,48,113,38,84,45.2,14,42,33.3,23,30,76.7,10,41,51,25,13,9,1,18,21
CLE,CLE vs. PHI,04/03/2022,L,48,108,35,78,44.9,15,33,45.5,23,31,74.2,7,34,41,24,12,10,3,28,-4
IND,IND vs. DET,04/03/2022,L,48,117,45,94,47.9,12,38,31.6,15,19,78.9,17,41,58,33,19,6,11,21,-4
CHA,CHA @ PHI,04/02/2022,L,48,114,42,87,48.3,11,30,36.7,19,24,79.2,7,25,32,34,17,14,1,18,-30
MIA,MIA @ CHI,04/02/2022,W,48,127,44,82,53.7,17,34,50.0,22,27,81.5,5,36,41,28,9,4,1,21,18
ATL,ATL vs. BKN,04/02/2022,W,48,122,36,86,41.9,13,41,31.7,37,49,75.5,10,44,54,18,7,10,4,18,7
NYK,NYK vs. CLE,04/02/2022,L,48,101,31,77,40.3,13,30,43.3,26,34,76.5,6,29,35,19,11,6,4,19,-18
CLE,CLE @ NYK,04/02/2022,W,48,119,44,81,54.3,15,34,44.1,16,21,76.2,7,36,43,26,12,6,3,24,18
UTA,UTA @ GSW,04/02/2022,L,48,107,38,89,42.7,15,46,32.6,16,22,72.7,12,35,47,19,13,8,2,17,-4
PHI,PHI vs. CHA,04/02/2022,W,48,144,53,87,60.9,21,43,48.8,17,21,81.0,10,37,47,38,19,10,5,18,30
BKN,BKN @ ATL,04/02/2022,L,48,115,42,99,42.4,17,37,45.9,14,19,73.7,10,42,52,17,13,5,3,29,-7
GSW,GSW vs. UTA,04/02/2022,W,48,111,40,84,47.6,20,48,41.7,11,12,91.7,6,35,41,30,11,5,6,22,4
CHI,CHI vs. MIA,04/02/2022,L,48,109,37,86,43.0,9,34,26.5,26,29,89.7,11,28,39,21,6,5,4,19,-18
DEN,DEN vs. MIN,04/01/2022,L,48,130,46,86,53.5,12,35,34.3,26,29,89.7,10,34,44,36,18,7,2,23,-6
NOP,NOP @ LAL,04/01/2022,W,48,114,41,79,51.9,7,26,26.9,25,29,86.2,4,33,37,23,15,8,4,21,3
MEM,MEM vs. PHX,04/01/2022,W,48,122,46,102,45.1,7,24,29.2,23,28,82.1,16,32,48,30,11,7,2,18,8
POR,POR @ SAS,04/01/2022,L,48,111,41,92,44.6,15,35,42.9,14,20,70.0,12,30,42,27,12,12,2,20,-19
DET,DET @ OKC,04/01/2022,W,48,110,40,94,42.6,15,48,31.3,15,18,83.3,8,36,44,29,8,9,8,20,9
SAS,SAS vs. POR,04/01/2022,W,48,130,46,81,56.8,16,37,43.2,22,28,78.6,8,36,44,34,15,9,6,16,19
PHX,PHX @ MEM,04/01/2022,L,48,114,47,86,54.7,10,27,37.0,10,17,58.8,2,37,39,27,20,8,4,25,-8
IND,IND @ BOS,04/01/2022,L,48,123,42,81,51.9,17,36,47.2,22,23,95.7,8,22,30,25,16,9,3,30,-5
TOR,TOR @ ORL,04/01/2022,W,48,102,36,86,41.9,13,42,31.0,17,20,85.0,10,31,41,21,10,13,3,14,13
SAC,SAC @ HOU,04/01/2022,W,48,122,42,81,51.9,12,28,42.9,26,34,76.5,8,39,47,29,13,6,11,19,5
,,,,,,,,,,,,,,,,,,,,,,,
MIL,MIL vs. LAC,04/01/2022,L,48,119,50,94,53.2,8,25,32.0,11,18,61.1,13,25,38,30,15,6,5,19,-34
HOU,HOU vs. SAC,04/01/2022,L,48,117,41,97,42.3,17,45,37.8,18,26,69.2,15,30,45,26,11,9,7,25,-5
MIN,MIN @ DEN,04/01/2022,W,48,136,43,86,50.0,19,40,47.5,31,36,86.1,10,28,38,26,12,14,4,23,6
DAL,DAL @ WAS,04/01/2022,L,48,103,34,78,43.6,11,38,28.9,24,26,92.3,5,31,36,14,13,3,3,16,-32
WAS,WAS vs. DAL,04/01/2022,W,48,135,49,90,54.4,17,33,51.5,20,22,90.9,8,37,45,33,9,7,4,19,32
BOS,BOS vs. IND,04/01/2022,W,48,128,45,83,54.2,12,33,36.4,26,28,92.9,11,29,40,29,16,7,4,19,5
LAL,LAL vs. NOP,04/01/2022,L,48,111,39,82,47.6,11,27,40.7,22,31,71.0,7,33,40,24,17,10,1,24,-3
LAC,LAC @ MIL,04/01/2022,W,48,153,56,92,60.9,23,43,53.5,18,24,75.0,8,28,36,34,10,9,7,17,34
OKC,OKC vs. DET,04/01/2022,L,48,101,36,84,42.9,11,34,32.4,18,29,62.1,12,42,54,24,17,1,8,15,-9
ORL,ORL vs. TOR,04/01/2022,L,48,89,34,79,43.0,11,35,31.4,10,11,90.9,9,36,45,24,22,6,4,14,-13
DET,DET vs. PHI,03/31/2022,W,48,102,41,82,50.0,10,35,28.6,10,15,66.7,5,33,38,26,10,11,4,21,8
CHI,CHI vs. LAC,03/31/2022,W,53,135,50,102,49.0,10,29,34.5,25,32,78.1,13,37,50,24,8,6,3,17,5
ATL,ATL vs. CLE,03/31/2022,W,48,131,45,91,49.5,17,39,43.6,24,28,85.7,12,36,48,27,9,7,4,22,24
LAL,LAL @ UTA,03/31/2022,L,48,109,41,83,49.4,7,25,28.0,20,28,71.4,9,31,40,18,11,5,3,21,-13
MIL,MIL @ BKN,03/31/2022,W,53,120,40,89,44.9,12,41,29.3,28,34,82.4,11,46,57,17,23,12,3,14,1
